filename, language, Properties, Markdown, JSON, HTML, SCSS, JavaScript, JavaScript React, XML, comment, blank, total
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Cards\Cards.test.js, JavaScript, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Cards\package.json, JSON, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Carousels\Carousels.js, JavaScript, 0, 0, 0, 0, 0, 111, 0, 0, 0, 13, 124
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Carousels\Carousels.test.js, JavaScript, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Carousels\package.json, JSON, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Collapses\Collapses.js, JavaScript, 0, 0, 0, 0, 0, 214, 0, 0, 0, 17, 231
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Collapses\Collapses.test.js, JavaScript, 0, 0, 0, 0, 0, 71, 0, 0, 0, 3, 74
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Collapses\package.json, JSON, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Dropdowns\Dropdowns.js, JavaScript, 0, 0, 0, 0, 0, 163, 0, 0, 0, 6, 169
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Dropdowns\Dropdowns.test.js, JavaScript, 0, 0, 0, 0, 0, 26, 0, 0, 0, 2, 28
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Dropdowns\package.json, JSON, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Forms\Forms.js, JavaScript, 0, 0, 0, 0, 0, 1155, 0, 0, 0, 7, 1162
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Forms\Forms.test.js, JavaScript, 0, 0, 0, 0, 0, 37, 0, 0, 0, 3, 40
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Forms\package.json, JSON, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Jumbotrons\Jumbotrons.js, JavaScript, 0, 0, 0, 0, 0, 53, 0, 0, 0, 4, 57
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Jumbotrons\Jumbotrons.test.js, JavaScript, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Jumbotrons\package.json, JSON, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\ListGroups\ListGroups.js, JavaScript, 0, 0, 0, 0, 0, 224, 0, 0, 0, 7, 231
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\ListGroups\ListGroups.test.js, JavaScript, 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 20
